iter	Passed	Remaining
0	4	833
1	6	684
2	10	678
3	14	687
4	17	676
5	22	732
6	26	739
7	29	719
8	32	694
9	37	712
10	41	709
11	44	696
12	47	684
13	50	675
14	53	660
15	57	655
16	60	649
17	63	644
18	66	636
19	69	629
20	73	623
21	76	621
22	80	621
23	84	616
24	87	613
25	91	615
26	96	617
27	99	612
28	104	616
29	108	613
30	113	616
31	116	611
32	120	607
33	123	601
34	126	595
35	129	589
36	132	583
37	136	580
38	139	577
39	143	573
40	147	572
41	152	572
42	156	571
43	160	568
44	163	564
45	167	562
46	172	560
47	176	557
48	180	555
49	183	551
50	187	548
51	191	544
52	194	539
53	197	534
54	201	530
55	204	525
56	210	528
57	214	526
58	219	525
59	224	523
60	228	521
61	232	516
62	236	515
63	240	511
64	245	509
65	248	504
66	251	499
67	256	497
68	262	498
69	266	494
70	269	489
71	273	485
72	278	485
73	282	481
74	286	477
75	289	472
76	294	470
77	299	467
78	302	463
79	305	458
80	309	455
81	314	453
82	318	448
83	321	444
84	325	440
85	329	436
86	332	432
87	336	428
88	341	425
89	345	422
90	349	418
91	352	413
92	356	409
93	360	406
94	364	402
95	367	397
96	372	395
97	376	391
98	379	387
99	383	383
100	387	379
101	391	376
102	396	373
103	400	369
104	404	365
105	408	362
106	412	358
107	416	354
108	419	350
109	424	347
110	430	344
111	433	340
112	437	337
113	442	333
114	446	330
115	449	325
116	453	321
117	458	318
118	461	314
119	465	310
120	469	306
121	472	302
122	476	298
123	481	295
124	485	291
125	489	287
126	492	282
127	496	279
128	500	275
129	506	272
130	509	268
131	513	264
132	517	260
133	521	256
134	525	253
135	529	249
136	535	246
137	539	242
138	545	239
139	549	235
140	552	231
141	556	227
142	560	223
143	563	219
144	567	215
145	571	211
146	574	207
147	577	203
148	581	198
149	584	194
150	587	190
151	590	186
152	594	182
153	597	178
154	600	174
155	603	170
156	606	166
157	610	162
158	613	158
159	617	154
160	620	150
161	625	146
162	630	143
163	633	139
164	638	135
165	641	131
166	645	127
167	648	123
168	655	120
169	659	116
170	662	112
171	666	108
172	669	104
173	672	100
174	676	96
175	679	92
176	683	88
177	686	84
178	689	80
179	693	77
180	697	73
181	703	69
182	708	65
183	711	61
184	715	58
185	721	54
186	725	50
187	728	46
188	733	42
189	738	38
190	743	35
191	747	31
192	751	27
193	756	23
194	760	19
195	763	15
196	767	11
197	771	7
198	776	3
199	779	0
